Kategori,Nama_minuman,Nutri_Score,Energy (Per 100 ml),Fat (Per 100 ml),Saturated fat (Per 100 ml),Carbohydrates (Per 100 ml),Sugars (Per 100 ml),Fiber (Per 100 ml),Proteins (Per 100 ml),Salt (Per 100 ml)
energy-drinks,BTE 50CL MONSTER ULTRA GOLD,c,8.0,0.0,0,1.1,0,0,0.54,0.11
energy-drinks,Monster juiced Aussie style lemonade,e,151.0,0.0,,9,8.3,,0.4,0.08
energy-drinks,Monster Paradise,e,151.0,0.0,0,9,8.5,,0.0,0.04
energy-drinks,Monster Energy Zero Sugar,b,13.0,0.0,0,1,0,0,0.0,0.1875
energy-drinks,Gönrgy Blueberry Coconut,c,13.0,0.0,0,0,0,0,0.0,0.0
energy-drinks,Colossus mango,c,79.0,0.0,0,4.1,4.1,0,0.0,0.13
plant-milks,Geröstete Mandel Ohne Zucker,b,61.0,1.1,0.1,0,0,0.3,0.5,0.15
plant-milks,Oat Drink Barista Edition,d,255.0,3.0,0.3,7.1,3.4,0.8,1.1,0.0975
plant-milks,Ohne Zucker Hafer,c,183.0,1.8,0.2,5.5,0,1.3,0.7,0.09
plant-milks,Bio-Almond-Mandelmilch,c,112.0,2.4,0.2,0,0,0.4,1.0,0.26
plant-milks,Geröstete Mandel,c,93.0,1.1,0.1,2.4,2.4,0.4,0.4,0.14
plant-milks,BjORG AMANDE ALMOND SANS SUGRES- NO SUGAR,b,102.0,1.7,0.2,1.6,0.5,0.5,0.7,0.05
plant-milks,Oat,c,192.0,1.5,0.2,6.6,3.3,1.4,0.8,0.0775
plant-milks,Hafer Milch Barista Edition,d,257.0,3.0,0.3,7.1,3.4,0.8,1.1,0.1
plant-milks,"Alpro Haferdrink, Ungesüßt 1 L, FRESH",c,169.0,1.5,0.2,5.8,0,1.2,0.2,0.11
plant-milks,The Original Organic Oat Drink imp,c,166.0,0.5,0.1,7.2,3.4,0.8,1.1,0.1
plant-milks,"Alpro® Barista Haferdrink, 1 L, UHT",d,248.0,3.0,0.3,6.7,3.3,1,0.8,0.13
plant-milks,Soyamilch,b,163.0,1.8,0.3,2.5,2.5,0.5,3.0,0.09
plant-milks,Avoine - Boisson biologique,c,187.0,1.5,0.3,7,4,0.5,0.5,0.09
plant-milks,Oat Drink Whole,d,251.0,2.8,0.3,7.9,3.4,0.8,1.1,0.0975
plant-milks,Délicieuse & Tropical Coco,b,85.0,0.8,0.8,2.7,1.9,0.1,0.1,0.13
plant-milks,Barista edition oat drink,d,255.0,3.0,0.3,7.1,3.4,0.8,1.1,0.1
plant-milks,Bjorg amande,c,171.0,1.9,0.3,5.4,4,,0.5,0.05
plant-milks,Lait de coco,e,749.0,18.0,17,2.9,2.2,0.5,2.0,0.03
plant-milks,asiri fraise,e,272.0,1.07,0.89,13.1,8,,0.7,0.0
plant-milks,"Alpro® Mandeldrink Ungesüßt, 1 L, FRESH",b,53.0,1.1,0.1,0,0,0.4,0.4,0.13
plant-milks,"Alpro Sojadrink, Ungesüßt 1L",b,138.0,1.8,0.3,0,0,0.6,3.3,0.09
plant-milks,Bebida de Avena,c,198.0,0.7,0.1,8.2,5.4,0.7,1.6,0.03
plant-milks,Minor Figures Barista Oat organic,c,192.0,1.9,0.2,6.9,3.3,,0.3,0.275
plant-milks,Rich and indulgent Hazelnut,c,122.0,1.6,0.2,3.2,3.2,0.3,0.4,0.14
plant-milks,Organic Oat Drink imp,c,205.0,2.3,0.3,6.2,4.6,0.5,0.5,0.09
plant-milks,Bio Hafer,c,148.0,1.2,0.2,5.6,3.3,1,0.0,0.08
plant-milks,Oat,c,205.0,2.4,0.2,6.2,2.6,0.2,0.6,0.15
plant-milks,Oat drink,c,138.0,0.3,0.1,6.6,3.8,0.5,0.6,0.08
plant-milks,Coconut milk,e,598.0,15.0,12,2.1,1.4,,0.6,0.1475
plant-milks,Organic Almond milk,b,121.0,2.5,0.2,0.5,0,0.5,1.0,0.0975
plant-milks,Alpro Not Milk,c,248.0,3.5,0.4,5.7,0,1,0.7,0.12
plant-milks,Soja nature sans sucre ajouté bio,b,178.0,2.6,0.6,0.7,0.5,0.5,3.9,0.03
plant-milks,The Original Oat Drink Semi,c,191.0,1.5,0.2,6.6,4.1,0.8,1.0,0.1
plant-milks,Organic Oat drink,c,138.0,0.3,0.1,6.6,3.8,0.5,0.6,0.08
plant-milks,Soya Unsweetened plant based,b,138.0,1.7,0.2,1.4,0.5,0.2,3.0,0.02
plant-milks,Coco Sans Sucres,b,59.0,1.2,1.1,0,0,0,0.1,0.07
plant-milks,"Alpro Sojadrink, Schokoladen-Geschmack, Protein 1L",b,291.0,2.8,0.6,5.3,5,1.3,5.0,0.16
plant-milks,Almendra,b,64.0,1.5,0.3,0,0,0,0.5,0.08
plant-milks,Coconut Milk,e,623.0,14.8,13.8,2.7,1.6,0.5,1.3,0.05
plant-milks,Lait de coco fluide,e,715.0,18.0,16,1,0.5,,1.2,0.06
plant-milks,Boisson Noisette,d,286.0,4.5,0.4,5.5,4,1.1,1.0,0.05
plant-milks,Almond No Sugars,b,63.6,1.32,0.2,0.2,0,0.12,0.6,0.13
plant-milks,"Alpro Mandeldrink Weiß Ungesüßt, Ungeröstet 1 LT",b,56.0,1.1,0.1,0,0,0.2,0.5,0.14
plant-milks,Organic & unsweetened Almond,b,121.0,2.5,0.2,0.5,0,0.5,1.0,0.1
plant-milks,Whole Oat Drink,d,248.0,2.8,0.3,7,3.4,0.8,1.1,0.1
plant-milks,Natural Coconut Cream,c,147.0,4.0,4,0,0,0,0.0,0.0
plant-milks,Oat unsweetened,c,163.0,1.1,0.2,6.6,3.1,0.5,0.3,0.11
plant-milks,Épeautre noisette bjorg,e,318.0,3.0,0.3,11,5.4,0.5,1.0,0.09
plant-milks,Oat Milk,c,230.0,3.0,0.3,5.7,2,0.8,0.7,0.12
plant-milks,Lait de coco,e,720.0,17.0,14,1,0.6,1,1.8,0.04
plant-milks,"Alpro Sojadrink, Ungesüßt fresh",b,138.0,1.8,0.3,0,0,0.6,3.3,0.09
plant-milks,Oat Barista Blend,c,229.0,2.9,0.2,5.8,2.8,0.8,0.8,0.12
plant-milks,Unsweetened UHT Soya Drink,b,130.0,1.92,0.32,0.16,0,0,3.4,0.083
plant-milks,Coconut Milk,e,456.0,11.0,9.7,2.2,1.3,0,0.5,0.05
plant-milks,Organic Soya Unsweetened U.H.T.,b,132.0,1.9,0.3,0,0,0.6,3.3,0.03
plant-milks,Oat M*lk,c,102.0,1.05,0.1,4.75,2.25,,0.1,0.05
plant-milks,soya Vanille,c,240.0,1.8,0.3,6.7,6.7,0.5,3.0,0.14
plant-milks,Soya Wholebean Unsweetened Drink U.H.T.,b,138.0,1.8,0.3,0,,0.6,3.3,0.09
plant-milks,Nordic Oat Drink,c,197.0,1.5,0.1,7.1,3,1,0.7,0.0975
plant-milks,Oatly Semi Oat Drink imp,c,201.0,1.5,0.2,7,3.4,0.8,1.1,0.1
plant-milks,Bebida avena Calcio,d,219.0,2.5,2,6.8,3.6,0.56,0.5,0.115
plant-milks,RUDE Almond Organic Drink imp,d,234.0,1.5,0.3,10,4.7,0.5,0.5,0.08
plant-milks,Coconut Milk,e,632.0,15.0,13,3.2,1.9,0,0.9,0.1
plant-milks,Bebida de Soja,b,147.0,1.9,0.3,0.8,0.7,0.7,3.4,0.16
plant-milks,No Sugars Oat Drink,c,184.0,1.5,0.2,6.3,0,0.7,1.0,0.1175
plant-milks,Oat barista edition unsweetened,d,243.0,2.3,0.2,8.4,3.6,0.4,0.8,0.00025
plant-milks,Coconut Milk,e,816.0,19.4,16,3.2,2.3,1.2,1.3,0.0875
plant-milks,Oat Milk,c,206.0,1.52,0.2,7.2,4.6,0.8,1.32,0.1
plant-milks,Avoine sans sucre,b,121.0,0.9,0.2,4.5,0.5,,0.6,0.09
plant-milks,Bio napitak od zobi,c,154.0,1.2,0.1,5.6,4.4,,0.4,0.1
plant-milks,Avoine,c,182.0,1.2,0.2,7.2,5,0.8,0.5,0.08
plant-milks,Coconut And Rice Milk,b,80.4,0.92,0.92,2.8,1.92,0,0.0,0.118
plant-milks,Amande chocolat,e,247.0,1.9,0.4,9.2,7.2,0.7,0.8,0.0775
plant-milks,"Boisson au soja, sucré",b,167.0,1.7,0.2,3.1,2.5,,3.0,0.4
plant-milks,Barista Oat milk - Vemondo,d,218.0,2.8,0.32,5.72,2.2,0.16,0.72,0.25
plant-milks,Coconut-flavored plant-based yoghurt,b,230.0,2.9,1.1,2.4,2.3,0.9,3.9,0.24
plant-milks,Bio Organic Almond Drink,c,96.0,1.2,0.1,2.4,2.3,,0.5,0.0975
plant-milks,Boisson au soja,b,133.0,1.7,0.2,1,0.4,0.2,3.0,0.08
plant-milks,Soya Drink Unsweetened,b,117.0,1.3,0.2,0.7,0.3,0.5,3.0,0.125
plant-milks,Coco sans sucres,b,75.0,1.4,1.3,0.8,0.5,,0.6,0.11
plant-milks,Lait Amande calcium,b,106.0,1.7,0.2,1.7,0.5,0.5,0.7,0.1
plant-milks,coconut milk,e,594.0,15.0,12,1.6,1.6,,1.0,0.06
plant-milks,High Protein Soja Drink,b,239.0,2.8,0.5,2.5,2.5,0.9,5.0,0.1
plant-milks,Mandel Vanille Geschmack,c,126.0,1.1,0.1,3.8,3.8,1.3,0.4,0.14
plant-milks,BjORG AMANDE VANILLE,c,155.0,1.4,0.2,5.4,3.7,0,0.5,0.0975
plant-milks,Crema di cocco,e,1039.0,25.0,24,4.5,3,0.5,2.7,0.04
plant-milks,Bebida de Avena,c,198.0,0.7,0.1,8.2,4.8,0.7,1.6,0.03
plant-milks,Boisson au soja nature bio,b,154.0,1.8,0.4,1.1,0.7,0.7,3.7,0.01
plant-milks,Bebida de Almendras Enriquecida con Calcio y Vitaminas,c,151.0,2.0,0.5,3.7,3.5,0.5,0.7,0.08
plant-milks,"Kokosnussdrink mit Soja, Barista",c,139.0,1.4,0.7,3.3,3.3,0.2,1.5,0.1
plant-milks,Bebida de soja,b,129.0,1.7,0.3,0.6,0.6,0.4,3.1,0.1
plant-milks,Gluten Free Barista Oat Drink,c,192.0,0.9,0.3,9.1,2.6,,0.3,0.1
plant-milks,Soya Drink Original,b,176.0,1.9,0.3,2.7,2.5,0.6,3.3,0.1
plant-milks,Everyday Essentials Soya Unsweetened,b,139.0,1.72,0.32,1.2,0.6,0.52,3.0,0.00019
plant-milks,Amande Sans sucres,b,106.0,1.7,0.2,1.7,0.5,0.5,0.7,0.1
plant-milks,unsweetened Almond milk,b,67.0,1.5,0.1,0,,0.2,0.5,0.15
plant-milks,Organic Coconut Milk,e,745.0,18.0,17,2.4,1.8,0,2.0,0.04
plant-milks,Boisson avoine,c,173.0,1.2,0.2,7.2,5,0.8,0.5,0.0975
plant-milks,Vainilla,b,134.0,1.5,0.2,1.4,0,0.5,3.0,0.17
teas,Green Tea,c,200.0,0.5,0.5,0.5,0.2,0.2,0.5,0.1
teas,PET 1.2L MAYTEA MENTHE,c,59.0,0.0,0,3.3,3.3,0,0.0,0.03
teas,Apple & Raisin Oat Bar,e,1784.0,17.4,9.5,59.3,29,4.9,5.6,0.29
teas,Thé,e,84.0,8.0,6,11,5,,15.0,8.0
teas,The vert de chine,b,4.0,0.0,0,0.2,0,,0.1,0.0
teas,Peach ice tea,c,56.4,0.0,0,3.12,3,,0.0,0.032
teas,Al ambar thé vert en grains,b,0.0,0.0,0,0,0,0,0.0,0.0
